"","timing","delay","temp","press"
"1",30,1.1556,1511,504
"2",30,1.2111,1514,502
"3",30,1.2778,1504,505
"4",30,1.4444,1474,504
"5",30,1.5556,1460,512
"6",30,1.0222,1536,529
"7",30,1.0889,1527,524
"8",30,1.2,1504,523
"9",30,1.3666,1494,522
"10",30,0.8778,1609,566
"11",30,0.9333,1596,563
"12",30,1.0333,1580,557
"13",30,1.0889,1571,555
"14",30,0.8222,1637,600
"15",30,0.9333,1609,577
"16",30,0.9777,1576,570
"17",24,1.0222,1530,569
"18",24,1.0889,1495,566
"19",24,1.2333,1481,536
"20",24,1.3667,1455,552
"21",24,0.9111,1593,624
"22",24,1.0111,1571,615
"23",24,1.0337,1536,603
"24",24,0.7778,1650,688
"25",24,0.8333,1636,670
"26",24,0.8889,1628,662
"27",24,0.9333,1601,640
"28",24,0.7,1725,738
"29",24,0.6444,1702,717
"30",24,0.6556,1684,705
"31",24,0.6556,1666,684
"32",24,0.8,1658,607
"33",24,0.8833,1639,607
"34",24,1,1605,598
"35",24,1.0667,1608,605
"36",24,1.1333,1591,603
"37",24,0.6333,1792,694
"38",24,0.6917,1730,671
"39",24,0.7167,1682,660
"40",24,0.7667,1661,651
"41",24,0.8,1634,638
"42",24,0.5417,1817,746
"43",24,0.6167,1742,711
"44",24,0.6333,1731,705
"45",24,0.5167,1879,799
"46",24,0.35,1816,728
"47",24,0.2833,1784,701
